match_code,date,city,team1,team2,toss_winner,toss_decision,winner,win_type,win_margin,inning,delivery,batting_team,batsman,non_striker,bowler,runs,extras,total,extras_type,player_out,wicket_kind,wicket_fielders
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.1,Mumbai Indians,ST Jayasuriya,SR Tendulkar,I Sharma,0,1,1,wides,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.2,Mumbai Indians,ST Jayasuriya,SR Tendulkar,I Sharma,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.3,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,0,1,1,wides,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.4,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.5,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,2,0,2,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.6,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.7,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,0.8,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,4,0,4,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,1.1,Mumbai Indians,ST Jayasuriya,SR Tendulkar,AB Dinda,4,0,4,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,1.2,Mumbai Indians,ST Jayasuriya,SR Tendulkar,AB Dinda,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,1.3,Mumbai Indians,ST Jayasuriya,SR Tendulkar,AB Dinda,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,1.4,Mumbai Indians,SR Tendulkar,ST Jayasuriya,AB Dinda,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,1.5,Mumbai Indians,SR Tendulkar,ST Jayasuriya,AB Dinda,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,1.6,Mumbai Indians,SR Tendulkar,ST Jayasuriya,AB Dinda,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,2.1,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,2.2,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,2.3,Mumbai Indians,SR Tendulkar,ST Jayasuriya,I Sharma,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,2.4,Mumbai Indians,ST Jayasuriya,SR Tendulkar,I Sharma,0,2,2,byes,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,2.5,Mumbai Indians,ST Jayasuriya,SR Tendulkar,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,2.6,Mumbai Indians,ST Jayasuriya,SR Tendulkar,I Sharma,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.1,Mumbai Indians,SR Tendulkar,ST Jayasuriya,AB Dinda,0,1,1,legbyes,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.2,Mumbai Indians,ST Jayasuriya,SR Tendulkar,AB Dinda,0,0,0,,ST Jayasuriya,caught,MN van Wyk
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.3,Mumbai Indians,Harbhajan Singh,SR Tendulkar,AB Dinda,0,1,1,wides,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.4,Mumbai Indians,Harbhajan Singh,SR Tendulkar,AB Dinda,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.5,Mumbai Indians,Harbhajan Singh,SR Tendulkar,AB Dinda,2,0,2,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.6,Mumbai Indians,Harbhajan Singh,SR Tendulkar,AB Dinda,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,3.7,Mumbai Indians,SR Tendulkar,Harbhajan Singh,AB Dinda,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,4.1,Mumbai Indians,SR Tendulkar,Harbhajan Singh,LR Shukla,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,4.2,Mumbai Indians,SR Tendulkar,Harbhajan Singh,LR Shukla,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,4.3,Mumbai Indians,Harbhajan Singh,SR Tendulkar,LR Shukla,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,4.4,Mumbai Indians,SR Tendulkar,Harbhajan Singh,LR Shukla,4,0,4,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,4.5,Mumbai Indians,SR Tendulkar,Harbhajan Singh,LR Shukla,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,4.6,Mumbai Indians,SR Tendulkar,Harbhajan Singh,LR Shukla,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,5.1,Mumbai Indians,SR Tendulkar,Harbhajan Singh,M Kartik,6,0,6,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,5.2,Mumbai Indians,SR Tendulkar,Harbhajan Singh,M Kartik,1,0,1,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,5.3,Mumbai Indians,Harbhajan Singh,SR Tendulkar,M Kartik,2,0,2,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,5.4,Mumbai Indians,Harbhajan Singh,SR Tendulkar,M Kartik,0,0,0,,,,
392203,2009-05-01,East London,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,1,5.5,Mumbai Indians,Harbhajan Singh,SR Tendulkar,M Kartik,0,0,0,,Harbhajan Singh,caught,AB Dinda
