LotArea,SalePrice
8450,208500
9600,181500
11250,223500
9550,140000
14260,250000
14115,143000
10084,307000
10382,200000
6120,129900
7420,118000
11200,129500
12968,144000
10652,279500
10920,157000
6120,132000
11241,149000
10791,90000
13695,159000
7560,139000
14215,325300
7449,139400
9742,230000
4224,129900
8246,154000
14230,256300
7200,134800
11478,306000
16321,207500
6324,68500
8500,40000
8544,149350
11049,179900
10552,165500
7313,277500
13418,309000
10859,145000
8532,153000
7922,109000
6040,82000
8658,160000
16905,170000
9180,144000
9200,130250
7945,141000
7658,319900
12822,239686
11096,249700
4456,113000
7742,127000
13869,177000
6240,114500
8472,110000
7134,130000
10175,180500
2645,172500
11645,196500
7200,124900
13072,158000
7200,101000
6442,202500
10300,140000
9375,219500
9591,317000
10665,226000
4608,80000
15593,225000
13651,244000
7599,129500
10141,185000
10200,144900
5790,107400
1596,91000
8475,135750
8635,127000
10778,136500
10440,110000
13000,193500
4500,153500
10206,245000
8892,126500
8530,168500
16059,260000
11911,174000
3951,164500
8470,85000
8070,123600
7200,109900
8500,98600
13360,163500
7200,133900
9337,204750
9765,185000
10264,214000
10921,94750
10625,83000
9320,128950
10603,205000
9206,178000
7018,118964
10402,198900
7758,169500
9375,250000
10800,100000
6000,115000
8500,115000
11751,190000
9525,136900
7750,180000
7259,259500
3230,176000
11616,139000
8536,155000
12376,320000
8461,163990
6060,100000
9464,136000
7892,153900
17043,181000
6780,84500
4928,128000
4388,87000
7590,155000
8973,150000
14200,226000
12224,244000
7388,150750
6853,220000
10335,180000
10400,174000
10355,143000
11070,171000
9066,230000
15426,231500
10500,115000
11645,260000
8520,166000
10335,204000
9100,125000
2522,130000
6120,105000
9505,222500
7500,141000
6240,115000
10356,122000
14803,190000
13500,235000
11340,125000
9600,79000
7200,109500
12003,269500
12552,254900
11120,162500
12182,220000
5500,103200
5400,152000
10106,127500
10708,190000
10562,325624
8244,183500
16669,228000
12358,128500
5306,239000
10197,163000
12416,184000
12615,243000
10029,211000
13650,172500
8520,100000
2117,177000
7588,200100
9060,120000
11426,200000
7438,127000
9947,173000
10410,135000
7018,153337
4923,286000
10570,315000
7472,184000
9017,192000
2522,130000
7180,127000
2280,148500
9416,311872
5520,104000
9591,274900
8546,140000
10125,171500
7000,112000
4438,149000
3500,110000
11851,180500
13673,143900
12493,141000
14364,277000
8250,145000
5604,98000
10420,186000
8640,252678
13568,156000
10900,161750
10011,134450
8450,210000
9906,107000
15660,311500
3010,167240
8990,204900
8068,200000
11475,179900
10500,97000
1680,112000
9950,290000
1869,106000
8521,125000
3182,192500
8760,148000
1680,94500
10650,128200
7851,216500
1680,89500
8773,185500
9453,194500
12030,318000
8741,113000
9000,262500
3880,110500
5000,79000
10762,120000
8880,205000
10400,241500
9142,137000
11310,140000
11317,180000
5350,76500
4750,235000
8366,173000
9350,158000
8400,145000
8738,230000
8791,207500
8814,220000
12435,231500
12702,97000
9588,276000
8471,151000
5500,130000
5232,73000
12090,175500
11207,185000
8400,179500
6900,120500
7917,148000
10728,266000
11764,290000
9600,139000
8314,124500
7264,205000
9196,201000
10005,192000
11287,228500
7200,185000
5063,207500
9612,244600
8012,179200
4251,164700
9786,159000
8125,88000
9819,122000
8730,153575
15611,233230
5687,135900
11409,131000
16659,235000
9600,167000
7937,142500
13710,152000
7399,239000
11700,175000
14000,158500
15750,157000
