symboling,make,fuel-type,body-style,drive-wheels,wheel-base,length,width,height,horsepower,peak-rpm,highway-mpg,city-mpg,price
3,alfa-romero,gas,convertible,rwd,88.6,168.8,64.1,48.8,111,5000,27,21,13495
3,alfa-romero,gas,convertible,rwd,88.6,168.8,64.1,48.8,111,5000,27,21,16500
1,alfa-romero,gas,hatchback,rwd,94.5,171.2,65.5,52.4,154,5000,26,19,16500
2,audi,gas,sedan,fwd,99.8,176.6,66.2,54.3,102,5500,30,24,13950
2,audi,gas,sedan,4wd,99.4,176.6,66.4,54.3,115,5500,22,18,17450
2,audi,gas,sedan,fwd,99.8,177.3,66.3,53.1,110,5500,25,19,15250
1,audi,gas,sedan,fwd,105.8,192.7,71.4,55.7,110,5500,25,19,17710
1,audi,gas,wagon,fwd,105.8,192.7,71.4,55.7,110,5500,25,19,18920
1,audi,gas,sedan,fwd,105.8,192.7,71.4,55.9,140,5500,20,17,23875
0,audi,gas,hatchback,4wd,99.5,178.2,67.9,52,160,5500,22,16,23000
2,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,101,5800,29,23,16430
0,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,101,5800,29,23,16925
0,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,121,4250,28,21,20970
0,bmw,gas,sedan,rwd,101.2,176.8,64.8,54.3,121,4250,28,21,21105
1,bmw,gas,sedan,rwd,103.5,189,66.9,55.7,121,4250,25,20,24565
0,bmw,gas,sedan,rwd,103.5,189,66.9,55.7,182,5400,22,16,30760
0,bmw,gas,sedan,rwd,103.5,193.8,67.9,53.7,182,5400,22,16,41315
0,bmw,gas,sedan,rwd,110,197,70.9,56.3,182,5400,20,15,36880
2,chevrolet,gas,hatchback,fwd,88.4,141.1,60.3,53.2,48,5100,53,47,5151
1,chevrolet,gas,hatchback,fwd,94.5,155.9,63.6,52,70,5400,43,38,6295
0,chevrolet,gas,sedan,fwd,94.5,158.8,63.6,52,70,5400,43,38,6575
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.8,68,5500,41,37,5572
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.8,68,5500,38,31,6377
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.8,102,5500,30,24,7957
1,dodge,gas,hatchback,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,6229
1,dodge,gas,sedan,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,6692
1,dodge,gas,sedan,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,7609
1,dodge,gas,sedan,fwd,93.7,157.3,63.8,50.6,102,5500,30,24,8558
-1,dodge,gas,wagon,fwd,103.3,174.6,64.6,59.8,88,5000,30,24,8921
3,dodge,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,12964
2,honda,gas,hatchback,fwd,86.6,144.6,63.9,50.8,58,4800,54,49,6479
2,honda,gas,hatchback,fwd,86.6,144.6,63.9,50.8,76,6000,38,31,6855
1,honda,gas,hatchback,fwd,93.7,150,64,52.6,60,5500,42,38,5399
1,honda,gas,hatchback,fwd,93.7,150,64,52.6,76,6000,34,30,6529
1,honda,gas,hatchback,fwd,93.7,150,64,52.6,76,6000,34,30,7129
0,honda,gas,sedan,fwd,96.5,163.4,64,54.5,76,6000,34,30,7295
0,honda,gas,wagon,fwd,96.5,157.1,63.9,58.3,76,6000,34,30,7295
0,honda,gas,hatchback,fwd,96.5,167.5,65.2,53.3,86,5800,33,27,7895
0,honda,gas,hatchback,fwd,96.5,167.5,65.2,53.3,86,5800,33,27,9095
0,honda,gas,sedan,fwd,96.5,175.4,65.2,54.1,86,5800,33,27,8845
0,honda,gas,sedan,fwd,96.5,175.4,62.5,54.1,86,5800,33,27,10295
0,honda,gas,sedan,fwd,96.5,175.4,65.2,54.1,101,5800,28,24,12945
1,honda,gas,sedan,fwd,96.5,169.1,66,51,100,5500,31,25,10345
0,isuzu,gas,sedan,rwd,94.3,170.7,61.8,53.5,78,4800,29,24,6785
1,isuzu,gas,sedan,fwd,94.5,155.9,63.6,52,70,5400,43,38,32000
0,isuzu,gas,sedan,fwd,94.5,155.9,63.6,52,70,5400,43,38,24000
2,isuzu,gas,hatchback,rwd,96,172.6,65.2,51.4,90,5000,29,24,11048
0,jaguar,gas,sedan,rwd,113,199.6,69.6,52.8,176,4750,19,15,32250
0,jaguar,gas,sedan,rwd,113,199.6,69.6,52.8,176,4750,19,15,35550
0,jaguar,gas,sedan,rwd,102,191.7,70.6,47.8,262,5000,17,13,36000
