MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
9,3,65,8450,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,11,13,1,196,2,3,2,2,4,3,2,706,6,0,150,856,1,0,1,4,856,854,0,1710,1,0,2,1,3,1,2,8,6,0,3,1,2003,1,2,548,4,4,2,0,61,0,0,0,0,3,4,1,0,3,2008,8,4,208500
4,3,80,9600,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,7,8,2,0,3,3,1,2,4,1,0,978,6,0,284,1262,1,0,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,5,1,1976,1,2,460,4,4,2,298,0,0,0,0,0,3,4,1,0,8,2007,8,4,181500
9,3,68,11250,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,11,13,1,162,2,3,2,2,4,2,2,486,6,0,434,920,1,0,1,4,920,866,0,1786,1,0,2,1,3,1,2,6,6,1,5,1,2001,1,2,608,4,4,2,0,42,0,0,0,0,3,4,1,0,11,2008,8,4,223500
10,3,60,9550,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,12,15,2,0,3,3,0,4,1,3,0,216,6,0,540,756,1,2,1,4,961,756,0,1717,1,0,1,0,3,1,2,7,6,1,2,5,1998,2,3,642,4,4,2,0,35,272,0,0,0,3,4,1,0,3,2006,8,0,140000
9,3,84,14260,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,11,13,1,350,2,3,2,2,4,0,2,655,6,0,490,1145,1,0,1,4,1145,1053,0,2198,1,0,2,1,4,1,2,9,6,1,5,1,2000,1,3,836,4,4,2,192,84,0,0,0,0,3,4,1,0,2,2008,8,4,250000
8,3,85,14115,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,11,13,2,0,3,3,5,2,4,3,2,732,6,0,64,796,1,0,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,3,1,1993,2,2,480,4,4,2,40,30,0,320,0,0,3,2,3,700,10,2009,8,4,143000
4,3,75,10084,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,11,13,3,186,2,3,2,0,4,0,2,1369,6,0,317,1686,1,0,1,4,1694,0,0,1694,1,0,2,0,3,1,2,7,6,1,2,1,2004,1,2,636,4,4,2,255,57,0,0,0,0,3,4,1,0,1,2007,8,4,307000
9,3,0,10382,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,5,6,3,240,3,3,1,2,4,2,0,859,1,32,216,1107,1,0,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,5,1,1973,1,2,484,4,4,2,235,204,228,0,0,0,3,4,3,350,9,2009,8,4,200000
8,4,51,6120,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,2,15,2,0,3,3,0,4,4,3,6,0,6,0,952,952,1,2,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,5,5,1931,2,2,468,1,4,2,90,0,205,0,0,0,3,4,1,0,0,2008,8,0,129900
3,3,50,7420,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,7,8,2,0,3,3,0,4,4,3,2,851,6,0,140,991,1,0,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,5,1,1939,1,1,205,2,4,2,0,4,0,0,0,0,3,4,1,0,4,2008,8,4,118000
4,3,70,11200,1,1,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,5,6,2,0,3,3,1,4,4,3,5,906,6,0,134,1040,1,0,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,3,5,1965,2,1,384,4,4,2,0,0,0,0,0,0,3,4,1,0,3,2008,8,4,129500
