Datetime,WorkDay,Temperature,Demand
2014-01-01 00:00:00,0,16.1,3.698170814
2014-01-01 00:30:00,0,16.0,3.4261233160000004
2014-01-01 01:00:00,0,15.6,3.295834704
2014-01-01 01:30:00,0,15.4,3.1660517880000003
2014-01-01 02:00:00,0,15.4,3.0711069760000003
2014-01-01 02:30:00,0,15.5,2.999543204
2014-01-01 03:00:00,0,15.3,2.9553415860000003
2014-01-01 03:30:00,0,15.1,2.92741873
2014-01-01 04:00:00,0,15.1,2.9348156060000004
2014-01-01 04:30:00,0,15.1,2.932894204
2014-01-01 05:00:00,0,14.4,2.945533704
2014-01-01 05:30:00,0,14.6,2.978424742
2014-01-01 06:00:00,0,14.5,3.092293768
2014-01-01 06:30:00,0,14.7,3.2366560860000004
2014-01-01 07:00:00,0,15.2,3.2383288560000003
2014-01-01 07:30:00,0,16.1,3.306498728
2014-01-01 08:00:00,0,17.2,3.4020091
2014-01-01 08:30:00,0,16.6,3.469828806
2014-01-01 09:00:00,0,17.6,3.529153902
2014-01-01 09:30:00,0,17.5,3.53208157
2014-01-01 10:00:00,0,18.4,3.542718404
2014-01-01 10:30:00,0,18.7,3.535414138
2014-01-01 11:00:00,0,18.1,3.548788164
2014-01-01 11:30:00,0,20.0,3.534014928
2014-01-01 12:00:00,0,19.6,3.496877528
2014-01-01 12:30:00,0,20.0,3.467603286
2014-01-01 13:00:00,0,19.0,3.466042644
2014-01-01 13:30:00,0,19.7,3.479454646
2014-01-01 14:00:00,0,19.4,3.4959776
2014-01-01 14:30:00,0,19.6,3.53269949
2014-01-01 15:00:00,0,20.2,3.602742298
2014-01-01 15:30:00,0,20.2,3.68592106
2014-01-01 16:00:00,0,19.6,3.778769812
2014-01-01 16:30:00,0,19.4,3.867792832
2014-01-01 17:00:00,0,19.0,3.917347016
2014-01-01 17:30:00,0,19.3,3.947299462
2014-01-01 18:00:00,0,18.4,3.914168354
2014-01-01 18:30:00,0,17.5,3.87833472
2014-01-01 19:00:00,0,16.7,3.831370452
2014-01-01 19:30:00,0,16.2,3.876221002
2014-01-01 20:00:00,0,15.6,3.981766694
2014-01-01 20:30:00,0,15.6,3.959367528
2014-01-01 21:00:00,0,15.6,3.83072791
2014-01-01 21:30:00,0,15.3,3.689968778
2014-01-01 22:00:00,0,14.9,3.619677164
2014-01-01 22:30:00,0,14.6,3.62959027
2014-01-01 23:00:00,0,14.1,3.961993688
2014-01-01 23:30:00,0,14.1,4.06900311
2014-01-02 00:00:00,1,13.9,3.773907478
2014-01-02 00:30:00,1,13.5,3.522859554
2014-01-02 01:00:00,1,13.3,3.390241828
2014-01-02 01:30:00,1,13.4,3.279882626
2014-01-02 02:00:00,1,13.3,3.170885326
2014-01-02 02:30:00,1,13.3,3.089822124
2014-01-02 03:00:00,1,13.0,3.083388092
2014-01-02 03:30:00,1,12.9,3.106530522
2014-01-02 04:00:00,1,12.8,3.137791566
2014-01-02 04:30:00,1,12.2,3.187917946
2014-01-02 05:00:00,1,11.7,3.317090604
2014-01-02 05:30:00,1,11.9,3.4630469
2014-01-02 06:00:00,1,11.9,3.65052934
2014-01-02 06:30:00,1,12.7,3.840087256
2014-01-02 07:00:00,1,13.4,3.82812986
2014-01-02 07:30:00,1,14.2,3.907308704
2014-01-02 08:00:00,1,15.2,3.980807222
2014-01-02 08:30:00,1,16.3,3.995026718
2014-01-02 09:00:00,1,16.6,3.99866264
2014-01-02 09:30:00,1,18.0,3.985142136
2014-01-02 10:00:00,1,18.3,3.965407518
2014-01-02 10:30:00,1,17.9,3.958338978
2014-01-02 11:00:00,1,18.4,3.944578124
2014-01-02 11:30:00,1,18.9,3.926613244
2014-01-02 12:00:00,1,19.6,3.917774462
2014-01-02 12:30:00,1,19.0,3.909682386
2014-01-02 13:00:00,1,20.5,3.926394412
2014-01-02 13:30:00,1,20.9,3.959717078
2014-01-02 14:00:00,1,21.9,3.985800884
2014-01-02 14:30:00,1,21.4,4.02764756
2014-01-02 15:00:00,1,21.9,4.102544434
2014-01-02 15:30:00,1,21.2,4.189099056
2014-01-02 16:00:00,1,21.7,4.298228486
2014-01-02 16:30:00,1,21.0,4.34519756
2014-01-02 17:00:00,1,20.2,4.277626828
2014-01-02 17:30:00,1,19.9,4.21353736
2014-01-02 18:00:00,1,18.7,4.124950172
2014-01-02 18:30:00,1,18.3,4.033839342
2014-01-02 19:00:00,1,17.9,3.966949314
2014-01-02 19:30:00,1,17.2,3.970714426
2014-01-02 20:00:00,1,16.8,4.074998186
2014-01-02 20:30:00,1,16.2,4.041175452
2014-01-02 21:00:00,1,16.1,3.910357444
2014-01-02 21:30:00,1,15.7,3.736156468
2014-01-02 22:00:00,1,15.9,3.698724914
2014-01-02 22:30:00,1,15.9,3.702697124
2014-01-02 23:00:00,1,15.5,4.02947583
2014-01-02 23:30:00,1,14.7,4.134907898
2014-01-03 00:00:00,1,14.3,3.825217444
2014-01-03 00:30:00,1,14.9,3.57234064
2014-01-03 01:00:00,1,14.7,3.420308904
2014-01-03 01:30:00,1,14.7,3.285258124
2014-01-03 02:00:00,1,14.3,3.188495208
2014-01-03 02:30:00,1,14.0,3.11003129
2014-01-03 03:00:00,1,13.5,3.077231578
2014-01-03 03:30:00,1,12.9,3.082273008
2014-01-03 04:00:00,1,12.5,3.147459304
2014-01-03 04:30:00,1,12.4,3.2021446960000004
2014-01-03 05:00:00,1,12.2,3.3176448780000003
2014-01-03 05:30:00,1,12.1,3.451696652
2014-01-03 06:00:00,1,12.5,3.641256704
2014-01-03 06:30:00,1,12.7,3.816198904
2014-01-03 07:00:00,1,14.4,3.81566422
2014-01-03 07:30:00,1,15.4,3.91886251
2014-01-03 08:00:00,1,16.5,3.999140612
2014-01-03 08:30:00,1,17.4,4.04601467
2014-01-03 09:00:00,1,18.4,4.077025826
2014-01-03 09:30:00,1,18.9,4.0767078880000005
2014-01-03 10:00:00,1,19.1,4.064996742
2014-01-03 10:30:00,1,19.1,4.0669299180000005
2014-01-03 11:00:00,1,19.8,4.085514076
2014-01-03 11:30:00,1,20.9,4.088140598
2014-01-03 12:00:00,1,21.5,4.0898026960000005
2014-01-03 12:30:00,1,20.8,4.095826904
2014-01-03 13:00:00,1,21.0,4.103151532
2014-01-03 13:30:00,1,22.6,4.13833127
2014-01-03 14:00:00,1,23.4,4.1770931860000005
2014-01-03 14:30:00,1,23.2,4.204030912
2014-01-03 15:00:00,1,23.4,4.253053606
2014-01-03 15:30:00,1,24.8,4.334104064
2014-01-03 16:00:00,1,24.6,4.396321884
2014-01-03 16:30:00,1,25.1,4.394731022
2014-01-03 17:00:00,1,24.6,4.280100814
2014-01-03 17:30:00,1,23.5,4.200158912
2014-01-03 18:00:00,1,22.9,4.069193792
2014-01-03 18:30:00,1,22.4,3.96317187
2014-01-03 19:00:00,1,21.7,3.86333389
2014-01-03 19:30:00,1,21.0,3.807211596
2014-01-03 20:00:00,1,20.6,3.858186954
2014-01-03 20:30:00,1,21.5,3.832962112
2014-01-03 21:00:00,1,20.5,3.72716779
2014-01-03 21:30:00,1,20.0,3.632805216
2014-01-03 22:00:00,1,19.9,3.682147968
2014-01-03 22:30:00,1,19.4,3.74410411
2014-01-03 23:00:00,1,18.7,4.091593434
2014-01-03 23:30:00,1,18.1,4.198398912
2014-01-04 00:00:00,0,18.2,3.91464713
2014-01-04 00:30:00,0,17.9,3.672549608
2014-01-04 01:00:00,0,17.6,3.49753903
2014-01-04 01:30:00,0,16.8,3.339144792
2014-01-04 02:00:00,0,16.3,3.204312604
2014-01-04 02:30:00,0,16.6,3.1000425860000003
2014-01-04 03:00:00,0,16.6,3.03946753
2014-01-04 03:30:00,0,16.7,3.012088648
2014-01-04 04:00:00,0,16.2,3.017270254
2014-01-04 04:30:00,0,16.6,3.02667176
2014-01-04 05:00:00,0,17.8,3.042571012
2014-01-04 05:30:00,0,18.1,3.06684604
2014-01-04 06:00:00,0,19.1,3.130006372
2014-01-04 06:30:00,0,20.3,3.229404258
2014-01-04 07:00:00,0,19.9,3.23186119
2014-01-04 07:30:00,0,21.3,3.319817796
