customer_id,resp,card_tenure,risk_score,num_promoted,avg_bal,geo_group,res_type
2120,0,143.0,520,0,4108.0,0,5
16456,0,91.0,694,0,3268.0,1,1
18579,0,139.0,520,0,3785.0,0,2
8698,0,147.0,676,0,3402.0,0,1
22703,0,222.0,717,0,3580.0,3,1
12397,0,163.0,540,0,3056.0,0,5
16017,0,123.0,744,0,1816.0,0,4
939,0,83.0,656,0,3144.0,1,1
17164,0,171.0,520,0,2641.0,0,5
15247,0,210.0,704,0,3976.0,3,1
4153,0,143.0,654,0,3233.0,0,1
18266,0,75.0,693,0,3912.0,1,1
18634,0,186.0,677,0,3233.0,0,1
16044,0,151.0,696,0,1491.0,0,1
21938,0,115.0,667,0,2046.0,1,1
21062,0,159.0,691,0,2896.0,0,1
11412,0,226.0,699,0,2701.0,3,1
14888,0,163.0,631,0,3126.0,0,0
9034,0,107.0,757,0,3510.0,1,4
18619,0,91.0,715,0,2285.0,1,1
17284,0,147.0,683,0,2687.0,0,1
20427,0,75.0,747,0,2825.0,1,4
4526,0,246.0,760,0,2059.0,3,4
23563,0,230.0,520,0,3760.0,3,5
10145,0,638.0,520,0,893.0,4,5
867,0,175.0,697,0,1816.0,0,1
14511,0,123.0,520,0,3056.0,0,5
8278,0,155.0,653,0,2276.0,0,1
14887,0,163.0,520,0,2461.0,0,5
85,0,87.0,615,0,3020.0,1,3
20283,0,151.0,728,0,2878.0,0,4
20812,0,67.0,756,0,3728.0,4,4
22997,1,246.0,602,0,3941.0,3,3
9309,0,63.0,656,0,3577.0,4,1
7723,0,71.0,520,0,3069.0,4,5
12285,0,179.0,670,0,2899.0,0,1
4936,0,119.0,740,0,-132.0,1,4
20714,1,171.0,717,0,3670.0,0,1
21884,0,167.0,695,0,3443.0,0,1
9653,0,167.0,690,0,3461.0,0,1
23907,0,115.0,730,0,3200.0,1,4
15431,0,119.0,689,0,4065.0,1,1
20546,0,111.0,697,0,1890.0,1,1
15538,0,95.0,683,1,2099.0,1,1
11110,1,48.0,755,0,1481.0,4,4
5188,0,119.0,688,0,3498.0,1,1
10831,0,103.0,745,0,2630.0,1,4
9266,0,40.0,740,0,1774.0,4,4
24001,0,95.0,598,0,3711.0,1,3
24761,0,127.0,684,0,3534.0,0,1
20649,0,135.0,577,0,3144.0,0,3
11509,0,182.0,678,0,3445.0,0,1
10960,0,91.0,652,0,3277.0,1,0
119,0,103.0,682,0,2524.0,1,1
17809,0,119.0,621,0,3011.0,1,0
13526,0,202.0,683,0,3040.0,3,1
21825,0,135.0,731,0,2524.0,0,4
6047,0,115.0,648,0,3233.0,1,0
21420,0,186.0,732,0,3609.0,0,4
17828,0,167.0,565,0,3136.0,0,2
4392,0,163.0,692,0,3507.0,0,1
12622,0,198.0,632,0,2545.0,0,0
7715,0,194.0,676,0,3330.0,0,1
11058,0,99.0,695,0,2967.0,1,2
8946,0,151.0,667,0,3554.0,0,1
15780,0,87.0,717,0,3410.0,1,1
24878,1,52.0,709,0,3745.0,4,1
21904,0,103.0,520,0,1338.0,1,5
4660,0,83.0,670,0,3410.0,1,1
1902,0,99.0,696,0,3764.0,1,1
16502,0,238.0,715,0,3593.0,3,1
1355,0,135.0,520,0,4083.0,0,5
12501,0,147.0,672,0,3852.0,0,1
7079,0,246.0,520,0,2283.0,3,5
19537,0,83.0,744,0,2878.0,1,4
16751,0,79.0,683,0,2837.0,1,1
7679,0,131.0,695,0,3193.0,0,1
8141,0,44.0,736,0,3764.0,4,4
1706,0,186.0,704,0,813.0,0,1
18184,0,218.0,735,0,293.0,3,4
20339,0,163.0,674,0,3799.0,0,1
5262,0,151.0,634,0,3711.0,2,0
18485,0,171.0,698,0,1203.0,0,1
4667,0,143.0,604,0,2980.0,0,3
3748,0,60.0,742,0,2524.0,4,4
14912,0,163.0,708,0,1005.0,0,1
10933,0,56.0,759,0,3764.0,4,4
19248,0,143.0,667,0,3233.0,0,1
13603,0,12.0,757,0,3988.0,4,4
3324,0,36.0,757,0,3705.0,4,4
17394,0,246.0,520,0,2557.0,3,5
8763,0,131.0,681,0,3330.0,0,1
8716,0,60.0,520,0,2524.0,4,5
19511,0,99.0,666,0,-132.0,1,1
3152,0,79.0,758,0,-132.0,1,4
9259,0,210.0,760,0,3852.0,3,4
20198,0,143.0,694,0,3210.0,0,1
18626,0,194.0,606,0,3546.0,0,3
11027,0,52.0,570,0,3941.0,4,3
5474,0,230.0,739,0,3144.0,3,4
9989,0,182.0,697,0,2723.0,0,1
13711,0,28.0,665,0,3700.0,4,1
10799,0,52.0,689,0,2569.0,4,1
19318,0,71.0,713,0,3020.0,4,1
22437,0,246.0,520,0,2157.0,3,5
14586,0,210.0,520,0,2989.0,3,5
10076,0,155.0,631,0,3095.0,0,0
16072,0,131.0,727,0,2179.0,0,4
6542,0,246.0,687,0,3892.0,2,1
4159,0,95.0,520,0,3852.0,1,5
15389,0,198.0,520,0,2536.0,0,5
9981,0,48.0,683,0,3870.0,4,1
2308,0,44.0,747,0,2878.0,4,4
4036,0,190.0,631,0,3145.0,0,0
1847,1,44.0,734,0,3262.0,2,4
14061,0,143.0,520,0,2667.0,0,5
6495,0,107.0,729,0,3631.0,1,4
18238,0,155.0,695,0,3260.0,0,1
13829,0,175.0,615,0,3551.0,0,3
8386,0,60.0,757,0,3675.0,4,4
8636,0,16.0,710,0,3906.0,4,1
10377,0,56.0,712,0,3534.0,4,1
17666,0,79.0,721,0,3408.0,1,1
23535,0,123.0,667,0,2701.0,0,1
2731,0,190.0,520,0,4035.0,0,5
19938,0,186.0,707,0,89.0,0,1
12678,0,190.0,693,0,2377.0,0,1
17821,0,167.0,627,0,3923.0,0,0
22988,0,127.0,755,0,2819.0,0,4
12756,0,151.0,718,0,2561.0,2,1
12828,0,171.0,715,0,3650.0,0,1
790,0,115.0,760,0,3568.0,1,4
11720,0,131.0,669,0,2453.0,0,1
17124,0,218.0,717,0,3262.0,3,1
24354,0,214.0,520,0,2573.0,3,5
7454,0,496.0,520,0,3335.0,1,5
9243,0,44.0,760,0,3865.0,4,4
614,0,218.0,664,0,3286.0,3,1
14259,0,107.0,741,0,3286.0,1,4
16828,0,242.0,592,0,3521.0,3,3
5016,0,135.0,675,0,2861.0,0,1
20372,0,32.0,520,0,1952.0,4,5
5886,0,147.0,687,0,2769.0,0,1
8787,0,206.0,757,0,3410.0,3,4
7035,1,119.0,637,0,3551.0,1,0
5580,0,194.0,551,0,3941.0,0,5
13844,0,75.0,655,0,3587.0,1,2
13787,0,111.0,654,0,2841.0,1,1
5414,0,131.0,520,0,3155.0,0,5
18079,1,99.0,520,0,2898.0,1,5
142,0,103.0,727,0,3388.0,1,4
3502,0,52.0,696,0,3669.0,4,1
1867,0,163.0,716,0,1632.0,0,1
24862,0,103.0,679,0,2967.0,1,1
1719,0,48.0,726,0,3897.0,4,4
3038,0,123.0,731,0,3360.0,0,4
3077,0,32.0,760,0,3887.0,4,4
23186,0,222.0,520,0,955.0,3,5
23693,0,182.0,706,0,3675.0,2,1
9446,0,198.0,520,0,3437.0,0,5
6647,0,242.0,683,0,3410.0,3,1
19864,1,32.0,746,0,3906.0,4,4
3938,0,119.0,672,0,3197.0,1,1
1809,0,246.0,756,0,3551.0,3,4
2155,0,107.0,520,0,1004.0,1,5
10017,0,107.0,698,0,3826.0,1,1
16673,0,75.0,700,0,3197.0,1,1
1585,0,103.0,708,0,2878.0,1,1
13930,0,79.0,564,0,3203.0,1,3
22869,0,24.0,760,0,3764.0,4,4
18577,1,44.0,724,0,3026.0,4,4
13478,0,214.0,639,0,3215.0,3,0
4774,0,71.0,697,0,3391.0,4,1
2415,0,107.0,669,0,3646.0,1,1
15124,0,151.0,637,0,3906.0,0,0
4682,0,119.0,583,0,3233.0,1,3
4812,0,52.0,728,0,3188.0,4,4
15475,0,83.0,667,0,2683.0,1,1
1740,1,79.0,607,0,3020.0,1,3
