customer_id,resp,card_tenure,risk_score,num_promoted,avg_bal,geo_group,res_type
SB0000024239,0,143,520,0,4108,E,TO
SB0000103256,0,91,694,0,3268,N,CO
SB0000115357,0,139,520,0,3785,E,
SB0000060380,0,147,676,0,3402,E,CO
SB0000138548,0,222,717,0,3580,SE,CO
SB0000080565,0,163,540,0,3056,E,TO
SB0000100797,0,123,744,0,1816,E,SI
SB0000017899,0,83,656,0,3144,N,CO
SB0000083958,0,60,756,0,,W,SI
SB0000107372,0,171,520,0,2641,E,TO
SB0000096555,0,210,704,0,3976,SE,CO
SB0000035225,0,143,654,0,3233,E,CO
SB0000113463,0,75,693,0,3912,N,CO
SB0000115640,0,186,677,0,3233,E,CO
SB0000100935,0,151,696,0,1491,E,CO
SB0000134225,0,115,667,0,2046,N,CO
SB0000129380,0,159,691,0,2896,E,CO
SB0000075208,0,226,699,0,2701,SE,CO
SB0000094588,0,163,631,0,3126,E,CN
SB0000062290,0,107,757,0,3510,N,SI
SB0000115559,0,91,715,0,2285,N,CO
SB0000108009,0,147,683,0,2687,E,CO
SB0000125765,0,75,747,0,2825,N,SI
SB0000037208,0,246,760,0,2059,SE,SI
SB0000143240,0,230,520,0,3760,SE,TO
SB0000068393,0,638,520,0,893,W,TO
SB0000017504,0,175,697,0,1816,E,CO
SB0000092662,0,123,520,0,3056,E,TO
SB0000058321,0,155,653,0,2276,E,CO
SB0000094585,0,163,520,0,2461,E,TO
SB0000012853,0,87,615,0,3020,N,RE
SB0000125010,0,151,728,0,2878,E,SI
SB0000127915,0,67,756,0,3728,W,SI
SB0000140076,1,246,602,0,3941,SE,RE
SB0000063789,0,63,656,0,3577,W,CO
SB0000055070,0,71,520,0,3069,W,TO
SB0000079909,0,179,670,0,2899,E,CO
SB0000039483,0,119,740,0,-132,N,SI
SB0000127355,1,171,717,0,3670,E,CO
SB0000133923,0,167,695,0,3443,E,CO
SB0000065715,0,167,690,0,3461,E,CO
SB0000145088,0,115,730,0,3200,N,SI
SB0000097566,0,119,689,0,4065,N,CO
SB0000126429,0,111,697,0,1890,N,CO
SB0000098095,0,95,683,1,2099,N,CO
SB0000073582,1,48,755,0,1481,W,SI
SB0000040849,0,119,688,0,3498,N,CO
SB0000072126,0,103,745,0,2630,N,SI
SB0000063603,0,40,740,0,1774,W,SI
SB0000145540,0,95,598,0,3711,N,RE
SB0000149718,0,127,684,0,3534,E,CO
SB0000126976,0,135,577,0,3144,E,RE
SB0000075756,0,182,678,0,3445,E,CO
